"","date","open","high","low","close","volume","adjusted"
"139",2016-12-15,15.08,15.57,15,15.16,273400,15.16
"140",2016-12-16,15.2,16.44,15.02,16.440001,665900,16.440001
"141",2016-12-19,16.28,16.68,16.12,16.48,54100,16.48
"142",2016-12-20,16.61,17.47,16.61,17.110001,124800,17.110001
"143",2016-12-21,17.21,17.24,16.88,17.040001,50600,17.040001
"144",2016-12-22,17.1,17.63,16.85,17.389999,55700,17.389999
"145",2016-12-23,17.34,17.54,17.29,17.530001,34500,17.530001
"146",2016-12-27,17.86,17.87,17.5,17.67,52300,17.67
"147",2016-12-28,17.7,17.85,17.56,17.690001,43800,17.690001
"148",2016-12-29,17.7,17.75,17.07,17.6,87400,17.6
"149",2016-12-30,17.6,17.95,17.19,17.219999,105900,17.219999
"150",2017-01-03,17.05,17.8,17.05,17.530001,83600,17.530001
"151",2017-01-04,17.74,17.86,17.4,17.74,47800,17.74
"152",2017-01-05,17.65,17.88,17.19,17.42,120900,17.42
"153",2017-01-06,17.45,17.76,16.76,17.129999,174000,17.129999
"154",2017-01-09,17.13,17.27,16.69,17.18,133000,17.18
"155",2017-01-10,17.5,17.71,16.81,17.110001,86700,17.110001
"156",2017-01-11,17.04,17.6,16.75,17.450001,38800,17.450001
"157",2017-01-12,17.48,17.71,16.41,17.059999,132200,17.059999
"158",2017-01-13,17.08,17.76,16.81,17.040001,99600,17.040001
"159",2017-01-17,16.97,17.15,16.57,17.059999,90500,17.059999
"160",2017-01-18,17.06,17.65,16.81,17.26,39000,17.26
"161",2017-01-19,17.2,17.55,17.05,17.530001,72600,17.530001
"162",2017-01-20,17.53,17.9,17.29,17.76,99000,17.76
"163",2017-01-23,17.64,17.92,17.2,17.700001,48200,17.700001
"164",2017-01-24,17.72,19.07,17.6,18.780001,225000,18.780001
"165",2017-01-25,19,19.34,18.81,19.290001,111800,19.290001
"166",2017-01-26,19.44,19.48,18.99,19.389999,105200,19.389999
"167",2017-01-27,19.51,19.55,19.01,19.17,28800,19.17
"168",2017-01-30,19.02,19.37,18.74,19.1,51500,19.1
"169",2017-01-31,19,19.24,18.74,19.15,73700,19.15
"170",2017-02-01,19.2,19.23,18.81,19.049999,71100,19.049999
"171",2017-02-02,18.9,19.12,18.88,18.959999,29800,18.959999
"172",2017-02-03,19.04,19.11,18.76,18.969999,60000,18.969999
"173",2017-02-06,18.92,19.14,18.9,19.049999,40900,19.049999
"174",2017-02-07,19.05,19.27,18.7,18.719999,56700,18.719999
"175",2017-02-08,18.69,18.99,18.65,18.860001,39300,18.860001
"176",2017-02-09,18.88,19.01,18.58,18.83,74000,18.83
"177",2017-02-10,18.99,19.06,18.75,18.83,41300,18.83
"178",2017-02-13,18.98,19.3,18.69,19.049999,81600,19.049999
"179",2017-02-14,19.03,19.3,18.63,19.209999,50300,19.209999
"180",2017-02-15,19.19,19.41,18.83,18.92,42300,18.92
"181",2017-02-16,18.88,19.23,18.23,18.540001,81500,18.540001
"182",2017-02-17,18.38,18.49,18.17,18.280001,61500,18.280001
"183",2017-02-21,18.28,18.75,18.28,18.33,67100,18.33
"184",2017-02-22,18.39,18.75,18.23,18.48,65900,18.48
"185",2017-02-23,18.63,18.63,17.76,17.809999,39000,17.809999
"186",2017-02-24,17.74,17.89,17.57,17.870001,24700,17.870001
"187",2017-02-27,17.37,18.3,16.87,17.959999,57800,17.959999
"188",2017-02-28,17.85,17.99,17.3,17.49,42300,17.49
"189",2017-03-01,17.66,18.47,17.66,18.379999,41000,18.379999
"190",2017-03-02,18.36,18.36,17.22,17.299999,37200,17.299999
"191",2017-03-03,17.3,17.82,17.02,17.059999,48100,17.059999
"192",2017-03-06,16.94,17.47,16.71,16.879999,35400,16.879999
"193",2017-03-07,16.75,17.33,16.75,16.799999,40700,16.799999
"194",2017-03-08,16.84,17.1,16.53,16.969999,117900,16.969999
"195",2017-03-09,17.39,17.91,16.45,17.549999,142200,17.549999
"196",2017-03-10,17.55,18.06,16.72,16.860001,109300,16.860001
"197",2017-03-13,16.83,17.23,16.31,16.530001,123300,16.530001
"198",2017-03-14,16.45,17.06,16.05,16.65,88800,16.65
"199",2017-03-15,16.57,16.85,16.08,16.23,85400,16.23
"200",2017-03-16,16.3,16.64,16.08,16.17,22700,16.17
"201",2017-03-17,16.2,16.6,15.4,15.53,182600,15.53
"202",2017-03-20,15.54,15.96,15.39,15.89,92900,15.89
"203",2017-03-21,16.04,16.9,15.45,15.5,66500,15.5
"204",2017-03-22,15.45,16.14,15.3,15.4,42600,15.4
"205",2017-03-23,15.55,15.67,15.31,15.41,36800,15.41
"206",2017-03-24,15.43,15.78,15.19,15.31,32500,15.31
"207",2017-03-27,15.1,15.56,15.01,15.47,22000,15.47
"208",2017-03-28,15.38,15.94,15.38,15.42,40200,15.42
"209",2017-03-29,15.39,16.21,15.19,15.54,26900,15.54
"210",2017-03-30,15.48,15.84,15.48,15.6,30300,15.6
"211",2017-03-31,15.64,16.08,15.41,15.71,40100,15.71
"212",2017-04-03,15.72,15.73,15.36,15.38,34500,15.38
"213",2017-04-04,15.34,15.67,15.02,15.09,24100,15.09
"214",2017-04-05,15.12,15.25,14.36,14.43,84200,14.43
"215",2017-04-06,14.41,14.41,14.11,14.17,69100,14.17
"216",2017-04-07,14.09,14.54,13.84,13.85,61600,13.85
"217",2017-04-10,13.8,13.95,13.16,13.28,121900,13.28
"218",2017-04-11,13.16,13.63,13.16,13.39,74700,13.39
"219",2017-04-12,13.44,13.44,12.81,13.32,92600,13.32
"220",2017-04-13,13.2,13.36,12.85,13.05,60100,13.05
"221",2017-04-17,13.08,13.14,12.67,12.83,67900,12.83
"222",2017-04-18,12.8,12.93,12.41,12.71,59000,12.71
"223",2017-04-19,12.61,12.83,12.44,12.67,81300,12.67
"224",2017-04-20,12.69,13.15,12.62,13.03,94100,13.03
"225",2017-04-21,13.03,14.32,13,14.21,102000,14.21
"226",2017-04-24,14.36,14.67,14.02,14.46,88400,14.46
"227",2017-04-25,14.59,14.8,14.34,14.56,46400,14.56
"228",2017-04-26,14.6,14.77,14.25,14.31,52400,14.31
"229",2017-04-27,14.36,14.38,13.91,14.29,51100,14.29
"230",2017-04-28,14.17,14.92,13.77,14.01,22800,14.01
"231",2017-05-01,13.95,14.24,13.62,13.96,31900,13.96
"232",2017-05-02,13.84,14.67,13.84,14.08,59900,14.08
"233",2017-05-03,14.1,14.45,13.33,14.36,99000,14.36
"234",2017-05-04,14.36,14.73,13.95,14.36,64600,14.36
"235",2017-05-05,14.3,15.11,14.24,14.83,54600,14.83
"236",2017-05-08,14.81,15.24,13.54,15.06,53000,15.06
"237",2017-05-09,15.04,15.21,14.47,15.05,20300,15.05
"238",2017-05-10,14.94,15.08,14.69,14.92,36400,14.92
"239",2017-05-11,15.23,15.55,14.83,15.22,32000,15.22
"240",2017-05-12,15.13,15.88,14.5,15.47,91600,15.47
"241",2017-05-15,15.51,15.53,14.65,14.66,77300,14.66
"242",2017-05-16,14.67,14.7,13.95,14.19,60900,14.19
"243",2017-05-17,14.01,14.22,13.4,13.81,65300,13.81
"244",2017-05-18,13.72,13.86,13.4,13.4,43000,13.4
"245",2017-05-19,13.4,14.11,13.36,13.79,38600,13.79
"246",2017-05-22,13.79,14.08,13.67,13.73,17800,13.73
"247",2017-05-23,13.63,14.17,13.53,13.97,34800,13.97
"248",2017-05-24,13.97,14.21,13.69,13.96,16600,13.96
"249",2017-05-25,14.02,14.33,13.84,14.24,54500,14.24
"250",2017-05-26,14.24,14.75,13.89,14.58,48900,14.58
"251",2017-05-30,14.57,14.82,14.32,14.67,33200,14.67
"252",2017-05-31,14.7,14.71,13.94,14.26,46500,14.26
"253",2017-06-01,14.28,14.82,14.19,14.72,24800,14.72
"254",2017-06-02,14.53,15.12,14.53,15.12,67400,15.12
